,City,Latitudes,Longtitudes,Humidity,Wind Speed,Cloudiness,Temperature
226,Tooele,40.53,-112.3,41,2.6,1,12.57
227,Russell,32.35,-85.2,73,1.5,1,17.72
228,Yumen,40.28,97.2,32,12.59,2,13.7
229,Tiksi,71.69,128.87,92,10.49,100,-9.6
230,Fazilka,30.4,74.03,18,1.99,0,25.09
231,Eirunepé,-6.66,-69.87,92,0.74,91,22.71
232,Zhicheng,30.3,111.5,82,1.54,100,15.64
233,Richards Bay,-28.78,32.04,92,0.72,49,21.05
234,Tuatapere,-46.13,167.68,69,6.26,73,11.11
235,Lüderitz,-26.65,15.16,69,9.9,0,14.09
236,Valdivia,-39.81,-73.25,93,1.5,4,5.0
237,Makakilo City,21.35,-158.09,69,3.6,1,27.49
238,Khanbari,27.37,87.2,51,0.72,0,24.43
239,Boa Vista,2.82,-60.67,62,3.1,100,30.0
240,Teahupoo,-17.83,-149.27,69,8.2,20,27.89
241,Puerto Escondido,15.85,-97.07,70,4.1,75,29.0
242,Inírida,3.87,-67.92,85,0.62,34,24.36
243,Mora,11.05,14.14,35,0.19,2,23.76
244,Kahului,20.89,-156.47,43,3.1,20,27.84
245,Liberty,31.83,-81.5,83,1.79,0,20.44
246,Port Moresby,-9.44,147.18,66,5.7,40,32.0
247,Walvis Bay,-22.96,14.51,93,2.1,0,12.36
248,Nanortalik,60.14,-45.24,91,2.39,100,1.74
249,Sterling,39.01,-77.43,87,1.5,40,14.95
250,Kavaratti,10.57,72.64,74,4.42,46,27.36
251,Port Lincoln,-34.73,135.87,67,4.11,93,16.91
252,Barra de Tecoanapa,16.52,-98.75,82,2.97,5,27.43
253,Oyama,36.3,139.8,59,3.6,75,19.87
254,Tombouctou,20.0,-3.0,15,4.3,0,27.83
255,Cape Town,-33.93,18.42,87,3.1,75,14.31
256,Lensk,60.73,114.93,92,4.71,94,-1.6
257,Mossamedes,-15.2,12.15,84,1.45,8,19.12
258,Hervey Bay,-25.3,152.85,54,6.7,75,26.84
259,Clarence Town,-32.58,151.78,64,7.2,40,20.57
260,Wasilla,61.58,-149.44,74,0.47,90,-0.1
261,Hailey,43.52,-114.32,43,3.6,5,11.0
262,Barddhamān,23.25,87.85,66,2.85,11,28.25
263,Amuntai,-2.42,115.25,67,0.39,100,29.89
264,Mozarlândia,-14.74,-50.57,75,2.56,100,24.88
265,Farmington,36.73,-108.22,13,1.5,1,20.0
266,Acaraú,-2.89,-40.12,82,7.69,2,25.72
267,Maués,-3.38,-57.72,55,0.6,100,26.78
268,Pa Sang,18.53,98.94,78,3.1,75,23.94
269,George Town,5.41,100.34,79,0.5,20,29.42
270,Khatanga,71.97,102.5,97,2.07,82,-10.33
271,Saint Anthony,45.02,-93.22,92,1.4,1,-0.8
272,Hambantota,6.12,81.12,78,3.1,20,28.0
273,Salinópolis,-0.61,-47.36,82,5.5,19,26.88
274,Malanje,-9.54,16.34,94,3.16,75,18.98
275,Funadhoo,6.15,73.27,78,5.73,13,27.8
276,Carnarvon,-24.87,113.63,64,7.7,40,23.0
277,Wewak,-3.55,143.63,77,2.16,44,28.18
278,Esim,4.87,-2.24,88,3.42,72,25.08
279,Fare,-16.7,-151.02,78,7.34,27,26.59
280,Faanui,-16.48,-151.75,79,8.48,28,26.26
281,Hirara,24.8,125.28,78,8.7,75,28.41
282,Takoradze,4.88,-1.76,89,3.31,88,24.81
283,Rognan,67.1,15.39,82,2.9,100,0.68
284,Shuyskoye,59.37,41.03,96,2.47,100,0.75
285,Lugo,43.0,-7.5,92,0.89,100,13.81
286,Kamenka,51.32,42.77,92,3.49,1,2.09
287,College,64.86,-147.8,85,0.7,90,-6.45
288,Victoria Point,-27.58,153.3,47,6.7,75,25.0
289,Tezu,27.92,96.17,83,0.46,78,24.28
290,Sayyan,15.17,44.32,50,1.95,0,8.28
291,Sain Alto,23.58,-103.25,36,2.32,6,17.17
292,Comodoro Rivadavia,-45.87,-67.5,37,4.1,0,11.0
293,Usinsk,65.99,57.53,95,3.21,100,-5.18
294,Lang Son,21.83,106.73,62,4.49,100,19.59
295,Si Bun Rueang,16.97,102.28,92,1.99,100,21.45
296,Iqaluit,63.75,-68.51,85,2.6,90,-5.0
297,Shache,38.42,77.24,33,0.96,0,13.29
298,Padang,-0.95,100.35,53,1.79,57,30.95
299,Sandwick,60.0,-1.25,93,14.9,100,8.0
300,Burley,42.54,-113.79,44,4.6,1,12.0
301,St. George's,12.06,-61.75,83,2.6,20,28.0
302,Hamilton,39.18,-84.53,93,1.08,90,11.44
303,Gołdap,54.31,22.3,95,3.87,93,3.72
304,Vardø,70.37,31.11,74,5.1,40,2.0
305,Zhezkazgan,47.8,67.71,52,3.53,0,6.62
306,Luk Pu,23.17,112.28,99,2.02,0,22.78
307,Kumul,42.8,93.45,38,1.96,0,12.18
308,Broome,42.25,-75.83,93,4.6,90,12.36
309,Superior,46.72,-92.1,93,1.82,90,-0.33
310,Abu Kamal,34.45,40.92,30,2.36,2,18.81
311,Puri,19.8,85.85,88,2.6,20,27.0
312,Lorengau,-2.02,147.27,67,1.99,100,29.26
313,Kiryat Gat,31.61,34.76,83,2.6,11,21.27
314,Refojos de Basto,41.51,-8.0,90,1.08,99,13.89
315,Tahe,52.33,124.73,66,1.98,100,6.19
316,Krasnosel'kup,65.7,82.47,97,3.7,100,-5.84
317,Inta,66.03,60.17,93,2.51,100,-6.51
318,Nouadhibou,20.93,-17.03,54,7.2,20,26.0
319,Puerto Madryn,-42.77,-65.04,50,4.29,0,10.85
320,Paralímni,35.04,33.98,68,1.0,98,19.02
321,Cherskiy,68.75,161.3,94,1.95,66,-5.28
322,Zyryanovsk,49.74,84.27,71,0.19,8,2.28
323,Husavik,66.04,-17.34,92,1.5,73,-1.0
324,Grand Gaube,-20.01,57.66,70,4.47,0,24.44
325,Caçapava do Sul,-30.51,-53.49,82,1.12,0,17.22
326,Weatherford,32.76,-97.8,87,0.45,0,12.93
327,Numāligarh,26.63,93.75,87,2.52,66,24.99
328,Šibenik,43.73,15.91,58,4.6,0,7.89
329,Shingū,33.73,135.98,46,2.6,40,21.0
330,Quatre Cocos,-20.21,57.76,78,5.1,40,23.76
331,Bowen,-20.02,148.23,43,3.6,75,31.0
332,Calama,-22.47,-68.93,15,3.1,0,13.0
333,Matara,5.95,80.54,74,5.83,100,27.95
334,Bereda,43.27,-7.54,87,4.92,100,13.94
335,Słupsk,54.46,17.03,90,2.93,100,5.44
336,North Bend,43.41,-124.22,87,6.7,1,14.08
337,Shalazhi,43.1,45.36,67,7.0,100,14.39
338,Manche,49.0,-1.17,71,5.7,100,14.0
339,Luleå,65.58,22.15,86,3.6,89,-3.0
340,Bariloche,-41.15,-71.31,85,2.13,27,1.82
341,Birjand,32.87,59.22,19,1.37,0,1.0
342,Gamba,-2.65,10.0,90,2.94,100,24.57
343,Oddur,4.12,43.89,88,1.78,4,21.52
344,Pochutla,15.74,-96.47,84,1.8,52,25.56
345,Hay River,60.82,-115.8,73,1.0,20,-7.0
346,Srednekolymsk,67.45,153.68,95,0.93,98,-6.16
347,Naziya,59.8,31.38,91,4.72,92,0.56
348,Labuhan,-6.88,112.21,62,4.76,38,30.39
349,Harper,4.38,-7.72,80,2.98,100,25.1
350,Bonfim,3.08,-59.95,67,0.7,99,27.04
351,Lompoc,34.64,-120.46,93,2.6,90,13.96
352,Edremit,39.6,27.02,82,4.1,40,15.0
353,Macon,39.87,-88.97,87,3.6,90,7.52
354,Vestmannaeyjar,63.44,-20.27,77,1.51,72,4.1
355,Mnogovershinnyy,53.94,139.92,84,8.65,6,0.56
356,Mahibadhoo,3.78,72.97,79,5.73,100,27.93
357,Forsytheganj,52.63,29.73,90,4.55,35,2.64
358,Port Augusta,-32.5,137.77,49,3.6,90,23.66
359,Alofi,-19.06,-169.92,69,7.7,75,26.0
360,Dwārka,22.24,68.97,73,3.57,64,29.52
361,La Ronge,55.1,-105.28,58,2.1,90,-3.0
362,Camacha,33.08,-16.33,94,7.7,75,20.0
363,Gijang,35.24,129.21,45,2.1,0,20.0
364,Nowy Targ,49.48,20.03,89,1.5,75,0.52
365,Meulaboh,4.14,96.13,61,0.97,3,30.25
366,Atbasar,51.8,68.33,81,3.98,9,7.16
367,Baláo,-2.92,-79.82,85,3.52,90,22.89
368,Weiser,44.25,-116.97,41,1.0,1,14.12
369,Okhotsk,59.38,143.3,77,9.74,8,-2.9
370,Labytnangi,66.66,66.42,93,1.68,0,-10.86
371,Oktyabr'skiy,54.48,53.47,73,2.63,100,4.37
372,Fernie,49.5,-115.07,93,3.1,75,3.0
373,Cap Malheureux,-19.98,57.61,70,4.47,0,24.44
374,Nyurba,63.28,118.33,93,3.44,95,-3.02
375,Vodnyy,63.5,53.41,95,2.57,97,0.36
376,Marshfield,44.67,-90.17,85,2.09,1,-3.63
377,Sinnamary,5.38,-52.95,85,4.92,79,26.52
378,Laas,46.62,10.7,48,0.64,5,3.69
379,Saraland,30.82,-88.07,92,2.42,0,20.92
380,Oussouye,12.48,-16.55,89,2.4,4,26.88
381,Novikovo,51.15,37.89,82,3.58,0,2.51
382,Lata,40.16,-8.33,96,2.68,100,16.66
383,Turukhansk,65.82,87.98,96,1.81,98,-10.38
384,Prado,-17.34,-39.22,84,1.88,100,22.66
385,Mitsamiouli,-11.38,43.28,72,1.75,0,25.15
386,Kandrian,-6.22,149.55,62,2.99,100,29.67
387,Puerto Rico,-26.8,-55.02,60,1.03,0,21.81
388,Wajima,37.4,136.9,59,3.6,40,19.0
389,Tanout,14.97,8.89,15,4.27,0,28.06
390,Waipawa,-41.41,175.52,67,8.7,92,15.1
391,Kieta,-6.22,155.63,68,1.9,25,29.9
392,San Lorenzo,-25.33,-57.53,40,2.6,0,32.0
393,Karatau,43.17,70.47,48,1.88,0,9.16
394,Margate,51.38,1.39,73,2.68,100,12.94
395,Bilibino,68.05,166.44,93,1.43,72,-8.38
396,San Cristobal,7.77,-72.22,83,0.82,97,19.88
397,Hobyo,5.35,48.53,80,5.0,0,26.31
398,Warwick,41.7,-71.42,93,0.97,40,10.32
399,Hoi An,15.88,108.33,94,0.5,90,24.0
400,Bubaque,11.28,-15.83,87,3.46,27,27.96
401,Maiduguri,11.85,13.16,23,0.68,0,25.68
402,Aklavik,68.22,-135.01,92,2.6,90,-5.0
403,Celestún,20.87,-90.4,83,5.28,0,26.36
404,Pimentel,-6.84,-79.93,88,5.24,65,16.67
405,Vilyuysk,63.76,121.62,95,4.11,99,-4.11
406,Mana,5.66,-53.78,85,4.73,30,26.55
407,Shimoda,34.67,138.95,63,8.7,75,17.54
408,Mayo,38.89,-76.51,88,2.6,1,15.71
409,Constitución,-35.33,-72.42,69,4.87,70,11.49
410,Luganville,-15.53,167.17,70,3.1,20,29.0
411,Pipraich,26.83,83.53,53,1.75,0,25.95
412,Machaneng,-23.19,27.49,29,2.63,11,23.92
413,Pampa,35.54,-100.96,62,4.6,1,11.0
414,Thessalon,46.25,-83.57,60,3.59,90,5.0
415,Saint-Augustin,51.23,-58.65,79,3.37,94,6.6
416,Chengde,40.97,117.94,33,1.9,100,15.86
417,Oruzgan,32.83,66.0,36,1.4,0,9.39
418,Kudahuvadhoo,2.67,72.89,79,5.62,72,27.83
419,Westport,41.14,-73.36,77,3.1,1,13.83
420,Karasburg,-28.02,18.75,73,4.34,0,7.66
421,Bambanglipuro,-7.95,110.28,59,1.87,82,30.74
422,Malpe,13.35,74.72,88,1.19,75,26.0
423,Half Moon Bay,37.46,-122.43,93,2.34,90,16.31
424,Ayan,56.45,138.17,73,6.08,0,0.86
425,Chabahar,25.29,60.64,87,3.1,0,16.0
426,Barcelona,41.39,2.16,87,1.5,40,15.97
427,Callaway,30.15,-85.57,73,1.34,0,22.76
428,Mayya,61.73,130.28,85,2.19,40,-11.0
429,Lavaca,28.61,-96.63,83,3.1,1,25.81
430,Jalalabad,34.43,70.45,21,0.43,0,24.1
431,Poum,-20.23,164.02,70,5.65,1,24.45
432,Pilar,-9.6,-35.96,88,1.5,20,22.0
433,Uttaradit,17.67,100.5,94,1.5,75,23.0
434,Fairbanks,64.84,-147.72,85,0.75,90,-6.41
435,Ulaangom,49.98,92.07,76,2.01,37,0.31
436,Hauge i Dalane,58.34,6.28,94,1.34,100,7.59
437,Boyuibe,-20.42,-63.28,48,3.03,64,25.59
438,Abu Samrah,35.3,37.18,49,2.81,85,18.89
439,Aparecida do Taboado,-20.09,-51.09,88,3.64,100,21.36
440,Rio Grande,-32.03,-52.1,92,2.88,3,21.11
441,Chilca,-12.52,-76.74,82,3.6,18,16.73
442,Baykit,61.67,96.37,92,2.7,88,-3.9
443,Solnechnyy,50.72,136.63,54,0.92,0,5.93
444,Tigil',57.8,158.67,71,4.57,100,4.48
445,Namatanai,-3.67,152.43,68,0.96,97,29.59
446,Uncia,-18.47,-66.57,47,2.85,29,10.63
447,Sabla,12.75,4.71,42,2.69,0,27.4
448,Evans,33.53,-82.13,72,3.1,1,17.54
449,Otane,-39.88,176.63,78,4.02,100,14.44
450,Antalya Province,36.77,30.72,82,1.5,75,20.0
451,Kruisfontein,-34.0,24.73,63,2.24,65,16.11
452,Hofn,64.25,-15.21,75,5.29,0,3.2
453,Robinsonville,31.47,-97.11,72,1.5,75,19.51
454,San Patricio,28.02,-97.52,88,5.7,40,25.9
455,Honiara,-9.43,159.95,74,3.1,40,29.0
456,Nemuro,43.32,145.57,55,5.1,40,14.0
457,Curuguaty,-24.47,-55.69,72,1.3,1,22.58
458,Lobito,-12.35,13.55,83,1.97,13,22.69
459,Yamethin,20.43,96.15,67,1.29,61,27.65
460,Galich,58.38,42.35,91,3.1,99,1.18
461,Terrace Bay,48.78,-87.1,90,2.73,93,-0.16
462,Kalmunai,7.42,81.82,59,1.06,33,28.74
463,Corralillo,22.98,-80.59,83,6.39,100,24.5
464,Touros,-5.2,-35.46,83,2.1,75,25.0
465,Jalu,29.03,21.55,73,5.75,0,19.97
466,Muhos,64.81,25.99,92,2.1,20,-2.68
467,Korla,41.76,86.15,31,1.99,0,14.34
468,Akhtubinsk,48.28,46.17,76,3.09,68,8.75
469,Mishkino,55.34,63.92,91,3.65,100,8.59
470,Port-Gentil,-0.72,8.78,85,5.42,78,25.81
471,Caraballeda,10.61,-66.85,73,1.83,7,26.71
472,Markova,48.68,24.41,74,2.06,75,4.39
473,Ahipara,-35.17,173.17,65,4.52,99,18.32
474,Sīra,13.75,76.91,84,3.66,92,23.34
475,Flin Flon,54.77,-101.86,90,1.37,27,-4.52
476,Pacific Grove,36.62,-121.92,93,1.48,90,13.55
